Jake Goldberger,0,0
Maribel Verdú,-1,-1
Mike Block,0,0
Darren E. Burrows,-1,-1
Daphne Zuniga,0,0
Chris Klein,0,0
Red Skelton,0,0
Jan Decleir,0,0
Clifton Collins Jr,0,0
Judith Barsi,0,0
Raphael Barker,0,0
Claire Gordon-Harper,-1,-1
Roseanne Barr,0,0
Brigitte Nielsen,0,0
Ahna O'Reilly,-1,-1
Saul Dibb,0,0
Sophie N,0,0
Steve-O,-1,-1
Tawny Kitaen,0,0
Fred Ward,0,0
Michael Welch,0,0
Marisol Nichols,0,0
Leonard Farlinger,0,0
Zoe Lister-Jones,-1,-1
Ken Kwapis,0,0
Emily Watson,0,0
Scott Reeves,0,0
Jorge Blanco,0,0
Laura San Giacomo,0,0
Michael Higgenbottom,0,0
Leonard Roberts,0,0
Matt Bettinelli,0,0
S.R. Bindler,-1,-1
Dan Curtis,0,0
Danielle Darrieux,0,0
Scott Baio,0,0
Amber Stevens West,0,0
Gage Golightly,0,0
A. Michael Baldwin,-1,-1
Dean Wright,0,0
Nick Wechsler,0,0
Sebastian Roché,-1,-1
Victor Fleming,0,0
Donald Rumsfeld,0,0
James McCaffrey,0,0
Mimi Rogers,0,0
Jelena Jovanova,0,0
Penn Jillette,0,2055582
Jean Arthur,0,0
Dexter Fletcher,0,0
Cem Yilmaz,0,0
Akira Terao,0,0
Damian Walshe,0,0
David Backus,0,0
Kate Higgins,0,0
Johnny Pacar,0,0
Ricky Catter,0,0
Mark Feuerstein,0,0
Steve Burg,0,0
Tom Brady,0,0
Noah Taylor,0,0
Mike Judge,0,0
Nia Vardalos,0,0
Johnny Amaro,0,0
Vernon Wells,0,0
Ava Gardner,0,0
Peter Krause,0,0
Bart Freundlich,0,0
Kendrick Cross,0,0
Demi Moore,2451342,5276466
Ben Mendelsohn,0,0
Khaira Arby,0,0
Jacob Latimore,0,0
Kabir Sadanand,0,0
Cameron Crowe,0,0
Ken Howard,0,0
Yuri Lowenthal,0,0
Mitch Pileggi,0,0
Aidan Turner,0,0
Robyn Lively,0,0
David Clennon,0,0
Lance Rivera,0,0
Benjamin A. Onyango,-1,-1
Brian Whitaker,0,0
Maurice LaMarche,0,0
Hiroshi Abe,0,0
Katherine Waterston,0,0
Tyler James Williams,0,0
Jamel Debbouze,0,0
Thomas Vinterberg,0,0
Andrew Douglas,0,0
Edgar Tancangco,0,0
Xander Berkeley,0,0
Scott Thompson,0,0
Anders Holm,0,0
Dominic Colón,-1,-1
Nicky Naud,0,0
Lindsey Haun,0,0
Yuriy Tsurilo,0,0
June Diane Raphael,0,0
Mandy Gonzalez,0,0
Lluís Quílez,-1,-1
Melora Walters,0,0
Oren Peli,0,0
Dylan Schombing,0,0
Greg Marcks,0,0
Michaela Watkins,0,0
Debrianna Mansini,0,0
Olivia d'Abo,-1,-1
Jay R. Ferguson,-1,-1
Arly Jover,0,0
Kyla Wise,0,0
Arik Ascherman,0,0
Geoff Stults,0,0
Allison Dean,0,0
Aki Kaurism,0,0
Catherine Bell,0,0
Liane Balaban,0,0
Tatiana Suarez,0,0
Bill Bailey,0,3200690
Michael McCullers,0,0
Chris Stokes,0,0
Todd Lincoln,0,0
Harley Cokeliss,0,0
William Wyler,0,0
Chris Cleveland,0,0
Jeff Bridges,23216,0
Charlie McDermott,0,0
Seth Gabel,0,0
Kevin McHale,667789,1450948
Melissa Sturm,0,0
Jack Smight,0,0
Tony Bennett,0,0
Tom Everett,0,0
Devin Ratray,0,0
Sara Newens,0,0
Billy Burke,0,746301
Gerard Johnstone,0,0
Synnøve Macody Lund,-1,-1
Laura,0,0
Omri Katz,0,0
Elena Satine,0,0
Elodie Yung,0,0
Josie Ho,0,0
Basher Savage,0,0
Dan Harris,0,0
Peter Webber,0,0
Chris Penn,0,0
Ximena Ayala,0,0
Mary Norwood,0,0
Lawrence Gilliard Jr,0,0
